id,name,city,state,Latitude,Longitude,C_D,Street number,Street,City,State,Country,Zip,Full_Address,,,,,,,,c_d
478,Good People Brewing Company,Birmingham, AL,33.5206608,-86.80249,Birmingham  AL,,,Birmingham,Alabama,United States,,"Birmingham, Jefferson County, Alabama, United States",,,,,,,,BirminghamAL
286,Back Forty Beer Company,Gadsden, AL,34.014264,-86.0066386,Gadsden  AL,,,Gadsden,Alabama,United States,,"Gadsden, Etowah County, Alabama, United States",,,,,,,,GadsdenAL
412,Straight to Ale,Huntsville, AL,34.7303688,-86.5861037,Huntsville  AL,,,Huntsville,Alabama,United States,,"Huntsville, Madison County, Alabama, United States",,,,,,,,HuntsvilleAL
102,King Street Brewing Company,Anchorage, AK,61.2180556,-149.9002778,Anchorage  AK,,,Anchorage,Alaska,United States,,"Anchorage, Anchorage, Alaska, United States",,,,,,,,AnchorageAK
223,Midnight Sun Brewing Company,Anchorage, AK,61.2180556,-149.9002778,Anchorage  AK,,,Anchorage,Alaska,United States,,"Anchorage, Anchorage, Alaska, United States",,,,,,,,AnchorageAK
493,Broken Tooth Brewing Company,Anchorage, AK,61.2180556,-149.9002778,Anchorage  AK,,,Anchorage,Alaska,United States,,"Anchorage, Anchorage, Alaska, United States",,,,,,,,AnchorageAK
557,Sleeping Lady Brewing Company,Anchorage, AK,61.2180556,-149.9002778,Anchorage  AK,,,Anchorage,Alaska,United States,,"Anchorage, Anchorage, Alaska, United States",,,,,,,,AnchorageAK
270,Alaskan Brewing Company,Juneau, AK,58.3019444,-134.4197221,Juneau  AK,,,Juneau,Alaska,United States,,"Juneau, Stikine Region, Juneau, Alaska, United States",,,,,,,,JuneauAK
458,Kenai River Brewing Company,Soldotna, AK,60.4877778,-151.0583332,Soldotna  AK,,,Soldotna,Alaska,United States,99669,"Soldotna, Kenai Peninsula Borough, Alaska, United States, 99669",,,,,,,,SoldotnaAK
453,Denali Brewing Company,Talkeetna, AK,62.3209046,-150.1066221,Talkeetna  AK,,,Talkeetna,Alaska,United States,99676,"Talkeetna, Matanuska-Susitna, Alaska, United States, 99676",,,,,,,,TalkeetnaAK
30,SanTan Brewing Company,Chandler, AZ,33.3061605,-111.8412502,Chandler  AZ,,,Chandler,Arizona,United States,,"Chandler, Maricopa County, Arizona, United States",,,,,,,,ChandlerAZ
158,Lumberyard Brewing Company,Flagstaff, AZ,35.1982836,-111.651302,Flagstaff  AZ,,,Flagstaff,Arizona,United States,,"Flagstaff, Coconino County, Arizona, United States",,,,,,,,FlagstaffAZ
549,Mogollon Brewing Company,Flagstaff, AZ,35.1982836,-111.651302,Flagstaff  AZ,,,Flagstaff,Arizona,United States,,"Flagstaff, Coconino County, Arizona, United States",,,,,,,,FlagstaffAZ
232,College Street Brewhouse and Pub,Lake Havasu City, AZ,34.483901,-114.3224548,Lake Havasu City  AZ,,,Lake Havasu City,Arizona,United States,,"Lake Havasu City, Mohave County, Arizona, United States",,,,,,,,LakeHavasuCityAZ
507,Mudshark Brewing Company,Lake Havasu City, AZ,34.483901,-114.3224548,Lake Havasu City  AZ,,,Lake Havasu City,Arizona,United States,,"Lake Havasu City, Mohave County, Arizona, United States",,,,,,,,LakeHavasuCityAZ
157,Phoenix Ale Brewery,Phoenix, AZ,33.4483771,-112.0740373,Phoenix  AZ,,,Phoenix,Arizona,United States,,"Phoenix, Maricopa County, Arizona, United States",,,,,,,,PhoenixAZ
548,Prescott Brewing Company,Prescott, AZ,34.5400242,-112.4685025,Prescott  AZ,,,Prescott,Arizona,United States,,"Prescott, Yavapai County, Arizona, United States",,,,,,,,PrescottAZ
160,Four Peaks Brewing Company,Tempe, AZ,33.4255104,-111.9400054,Tempe  AZ,,,Tempe,Arizona,United States,,"Tempe, Maricopa County, Arizona, United States",,,,,,,,TempeAZ
231,Borderlands Brewing Company,Tucson, AZ,32.2226066,-110.9747108,Tucson  AZ,,,Tucson,Arizona,United States,,"Tucson, Pima County, Arizona, United States",,,,,,,,TucsonAZ
251,Barrio Brewing Company,Tucson, AZ,32.2226066,-110.9747108,Tucson  AZ,,,Tucson,Arizona,United States,,"Tucson, Pima County, Arizona, United States",,,,,,,,TucsonAZ
536,Grand Canyon Brewing Company,Williams, AZ,35.2494566,-112.1910031,Williams  AZ,,,Williams,Arizona,United States,86046,"Williams, Coconino County, Arizona, United States, 86046",,,,,,,,WilliamsAZ
259,Ozark Beer Company,Rogers, AR,36.3320196,-94.1185366,Rogers  AR,,,Rogers,Arkansas,United States,,"Rogers, Benton County, Arkansas, United States",,,,,,,,RogersAR
139,Core Brewing & Distilling Company,Springdale, AR,36.1867442,-94.1288141,Springdale  AR,,,Springdale,Arkansas,United States,,"Springdale, Springdale Township, Washington County, Arkansas, United States",,,,,,,,SpringdaleAR
491,Devils Canyon Brewery,Belmont, CA,37.5202145,-122.2758008,Belmont  CA,,,Belmont,California,United States,,"Belmont, San Mateo County, California, United States",,,,,,,,BelmontCA
171,Anderson Valley Brewing Company,Boonville, CA,39.0089749,-123.3671551,Boonville  CA,,,Boonville,California,United States,,"Boonville, Mendocino County, California, United States",,,,,,,,BoonvilleCA
36,Figueroa Mountain Brewing Company,Buellton, CA,34.613597,-120.1926505,Buellton  CA,,,Buellton,California,United States,93427,"Buellton, Santa Barbara County, California, United States, 93427",,,,,,,,BuelltonCA
370,Pizza Port Brewing Company,Carlsbad, CA,33.1580933,-117.3505939,Carlsbad  CA,,,Carlsbad,California,United States,,"Carlsbad, San Diego County, California, United States",,,,,,,,CarlsbadCA
517,Butchers Brewing,Carlsbad, CA,33.1580933,-117.3505939,Carlsbad  CA,,,Carlsbad,California,United States,,"Carlsbad, San Diego County, California, United States",,,,,,,,CarlsbadCA
83,Sierra Nevada Brewing Company,Chico, CA,39.7284944,-121.8374777,Chico  CA,,,Chico,California,United States,,"Chico, Butte County, California, United States",,,,,,,,ChicoCA
320,Claremont Craft Ales,Claremont, CA,34.0966764,-117.7197785,Claremont  CA,,,Claremont,California,United States,,"Claremont, Los Angeles County, California, United States",,,,,,,,ClaremontCA
333,Davids Ale Works,Diamond Springs, CA,38.6946259,-120.8149355,Diamond Springs  CA,,,Diamond Springs,California,United States,,"Diamond Springs, El Dorado County, California, United States",,,,,,,,DiamondSpringsCA
448,Mavericks Beer Company,Half Moon Bay, CA,37.4635519,-122.4285862,Half Moon Bay  CA,,,Half Moon Bay,California,United States,,"Half Moon Bay, San Mateo County, California, United States",,,,,,,,HalfMoonBayCA
240,Golden Road Brewing,Los Angeles, CA,34.0522342,-118.2436849,Los Angeles  CA,,,Los Angeles,California,United States,,"Los Angeles, Los Angeles County, California, United States",,,,,,,,LosAngelesCA
534,Mammoth Brewing Company,Mammoth Lakes, CA,37.648546,-118.972079,Mammoth Lakes  CA,,,Mammoth Lakes,California,United States,93546,"Mammoth Lakes, Mono County, California, United States, 93546",,,,,,,,MammothLakesCA
280,Headlands Brewing Company,Mill Valley, CA,37.9060368,-122.5449763,Mill Valley  CA,,,Mill Valley,California,United States,94941,"Mill Valley, Marin County, California, United States, 94941",,,,,,,,MillValleyCA
48,Firestone Walker Brewing Company,Paso Robles, CA,35.6368759,-120.6545022,Paso Robles  CA,,,Paso Robles,California,United States,93446,"Paso Robles, San Luis Obispo County, California, United States, 93446",,,,,,,,PasoRoblesCA
476,Hangar 24 Craft Brewery,Redlands, CA,34.0555693,-117.1825381,Redlands  CA,,,Redlands,California,United States,,"Redlands, San Bernardino County, California, United States",,,,,,,,RedlandsCA
397,Ruhstaller Beer Company,Sacramento, CA,38.5815719,-121.4943996,Sacramento  CA,,,Sacramento,California,United States,,"Sacramento, Sacramento County, California, United States",,,,,,,,SacramentoCA
3,Mike Hess Brewing Company,San Diego, CA,32.715738,-117.1610838,San Diego CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
34,Ballast Point Brewing Company,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
98,Mission Brewery,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
209,Modern Times Beer,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
288,Saint Archer Brewery,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
423,Hess Brewing Company,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
449,TailGate Beer,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
514,Monkey Paw Pub & Brewery,San Diego, CA,32.715738,-117.1610838,San Diego  CA,,,San Diego,California,United States,,"San Diego, San Diego County, California, United States",,,,,,,,SanDiegoCA
4,Fort Point Beer Company,San Francisco, CA,37.7749295,-122.4194155,San Francisco CA,,,San Francisco,California,United States,,"San Francisco, San Francisco County, California, United States",,,,,,,,SanFranciscoCA
35,Anchor Brewing Company,San Francisco, CA,37.7749295,-122.4194155,San Francisco  CA,,,San Francisco,California,United States,,"San Francisco, San Francisco County, California, United States",,,,,,,,SanFranciscoCA
78,Speakasy Ales & Lagers,San Francisco, CA,37.7749295,-122.4194155,San Francisco  CA,,,San Francisco,California,United States,,"San Francisco, San Francisco County, California, United States",,,,,,,,SanFranciscoCA
310,Pine Street Brewery,San Francisco, CA,37.7749295,-122.4194155,San Francisco  CA,,,San Francisco,California,United States,,"San Francisco, San Francisco County, California, United States",,,,,,,,SanFranciscoCA
368,21st Amendment Brewery,San Francisco, CA,37.7749295,-122.4194155,San Francisco  CA,,,San Francisco,California,United States,,"San Francisco, San Francisco County, California, United States",,,,,,,,SanFranciscoCA
350,Central Coast Brewing Company,San Luis Obispo, CA,35.2827524,-120.6596156,San Luis Obispo  CA,,,San Luis Obispo,California,United States,,"San Luis Obispo, San Luis Obispo County, California, United States",,,,,,,,SanLuisObispoCA
252,Santa Cruz Mountain Brewing,Santa Cruz, CA,36.9741171,-122.0307963,Santa Cruz  CA,,,Santa Cruz,California,United States,,"Santa Cruz, Santa Cruz County, California, United States",,,,,,,,SantaCruzCA
432,Seabright Brewery,Santa Cruz, CA,36.9741171,-122.0307963,Santa Cruz  CA,,,Santa Cruz,California,United States,,"Santa Cruz, Santa Cruz County, California, United States",,,,,,,,SantaCruzCA
522,Uncommon Brewers,Santa Cruz, CA,36.9741171,-122.0307963,Santa Cruz  CA,,,Santa Cruz,California,United States,,"Santa Cruz, Santa Cruz County, California, United States",,,,,,,,SantaCruzCA
346,Manzanita Brewing Company,Santee, CA,32.8383828,-116.9739167,Santee  CA,,,Santee,California,United States,,"Santee, San Diego County, California, United States",,,,,,,,SanteeCA
461,Armstrong Brewing Company,South San Francisco, CA,37.654656,-122.4077498,South San Francisco  CA,,,South San Francisco,California,United States,,"South San Francisco, San Mateo County, California, United States",,,,,,,,SouthSanFranciscoCA
112,Black Market Brewing Company,Temecula, CA,33.4936391,-117.1483648,Temecula  CA,,,Temecula,California,United States,,"Temecula, Riverside County, California, United States",,,,,,,,TemeculaCA
225,Refuge Brewery,Temecula, CA,33.4936391,-117.1483648,Temecula  CA,,,Temecula,California,United States,,"Temecula, Riverside County, California, United States",,,,,,,,TemeculaCA
33,The Dudes Brewing Company,Torrance, CA,33.8358492,-118.3406288,Torrance  CA,,,Torrance,California,United States,,"Torrance, Los Angeles County, California, United States",,,,,,,,TorranceCA
555,Ukiah Brewing Company,Ukiah, CA,39.1501709,-123.2077831,Ukiah  CA,,,Ukiah,California,United States,95482,"Ukiah, Mendocino County, California, United States, 95482",,,,,,,,UkiahCA
111,Mother Earth Brew Company,Vista, CA,33.2000368,-117.2425355,Vista  CA,,,Vista,California,United States,,"Vista, San Diego County, California, United States",,,,,,,,VistaCA
148,Odyssey Beerwerks,Arvada, CO,39.8027644,-105.0874842,Arvada  CO,,,Arvada,Colorado,United States,,"Arvada, Jefferson County, Colorado, United States",,,,,,,,ArvadaCO
523,Aspen Brewing Company,Aspen, CO,39.1910983,-106.8175387,Aspen  CO,,,Aspen,Colorado,United States,81611,"Aspen, Pitkin County, Colorado, United States, 81611",,,,,,,,AspenCO
451,Dad & Dudes Breweria,Aurora, CO,39.7294319,-104.8319195,Aurora  CO,,,Aurora,Colorado,United States,,"Aurora, Arapahoe County, Colorado, United States",,,,,,,,AuroraCO
496,Dry Dock Brewing Company,Aurora, CO,39.7294319,-104.8319195,Aurora  CO,,,Aurora,Colorado,United States,,"Aurora, Arapahoe County, Colorado, United States",,,,,,,,AuroraCO
37,Avery Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
51,Upslope Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
405,Fate Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
417,Boulder Beer Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
419,Sanitas Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
421,Redstone Meadery,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
429,Asher Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
472,Crystal Springs Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
520,Twisted Pine Brewing Company,Boulder, CO,40.0149856,-105.2705456,Boulder  CO,,,Boulder,Colorado,United States,,"Boulder, Boulder County, Colorado, United States",,,,,,,,BoulderCO
220,Big Choice Brewing,Broomfield, CO,39.9205411,-105.0866504,Broomfield  CO,,,Broomfield,Colorado,United States,,"Broomfield, Broomfield County, Colorado, United States",,,,,,,,BroomfieldCO
369,Eddyline Brewery & Restaurant,Buena Vista, CO,38.8422178,-106.1311288,Buena Vista  CO,,,Buena Vista,Colorado,United States,81211,"Buena Vista, Chaffee County, Colorado, United States, 81211",,,,,,,,BuenaVistaCO
513,Arctic Craft Brewery,Colorado Springs, CO,38.8338816,-104.8213634,Colorado Springs  CO,,,Colorado Springs,Colorado,United States,,"Colorado Springs, El Paso County, Colorado, United States",,,,,,,,ColoradoSpringsCO
6,Great Divide Brewing Company,Denver, CO,39.7392358,-104.990251,Denver CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
81,Epic Brewing,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
110,Renegade Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
263,Denver Beer Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
294,Black Shirt Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
391,Breckenridge Brewery,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
424,Wynkoop Brewing Company,Denver, CO,39.7392358,-104.990251,Denver  CO,,,Denver,Colorado,United States,,"Denver, Denver County, Colorado, United States",,,,,,,,DenverCO
